NAICS,GEO,YEAR,VALUE
Agriculture,Newfoundland and Labrador,2013,12.5
Agriculture,Newfoundland and Labrador,2014,15
Agriculture,Newfoundland and Labrador,2015,14.5
Agriculture,Newfoundland and Labrador,2016,16.25
Agriculture,Newfoundland and Labrador,2017,15.5
Agriculture,Newfoundland and Labrador,2018,17.14
Agriculture,Newfoundland and Labrador,2019,16.75
Agriculture,Newfoundland and Labrador,2020,14.98
Agriculture,Newfoundland and Labrador,2021,21
Agriculture,Nova Scotia,2012,12.75
Agriculture,Nova Scotia,2013,12.24
Agriculture,Nova Scotia,2014,12.8
Agriculture,Nova Scotia,2015,12.75
Agriculture,Nova Scotia,2016,12.75
Agriculture,Nova Scotia,2017,14.98
Agriculture,Nova Scotia,2018,15
Agriculture,Nova Scotia,2019,15
Agriculture,Nova Scotia,2020,16
Agriculture,Nova Scotia,2021,15.75
Agriculture,Ontario,2012,14
Agriculture,Ontario,2013,13.76
Agriculture,Ontario,2014,14
Agriculture,Ontario,2015,15
Agriculture,Ontario,2016,15
Agriculture,Ontario,2017,15
Agriculture,Ontario,2018,16.5
Agriculture,Ontario,2019,16.75
Agriculture,Ontario,2020,17.4
Agriculture,Ontario,2021,19.23
Agriculture,Prince Edward Island,2012,12.73
Agriculture,Prince Edward Island,2013,13
Agriculture,Prince Edward Island,2014,13.9
Agriculture,Prince Edward Island,2015,13.5
Agriculture,Prince Edward Island,2016,14
Agriculture,Prince Edward Island,2017,14.38
Agriculture,Prince Edward Island,2018,15.5
Agriculture,Prince Edward Island,2019,15.3
Agriculture,Prince Edward Island,2020,15.65
Agriculture,Prince Edward Island,2021,18.38
Agriculture,Quebec,2012,13.88
Agriculture,Quebec,2013,14.1
Agriculture,Quebec,2014,13.75
Agriculture,Quebec,2015,14.6
Agriculture,Quebec,2016,16
Agriculture,Quebec,2017,15.15
Agriculture,Quebec,2018,16
Agriculture,Quebec,2019,16.34
Agriculture,Quebec,2020,17.25
Agriculture,Quebec,2021,17
Agriculture,Saskatchewan,2012,16.18
Agriculture,Saskatchewan,2013,16.7
Agriculture,Saskatchewan,2014,18
Agriculture,Saskatchewan,2015,18.23
Agriculture,Saskatchewan,2016,19.33
Agriculture,Saskatchewan,2017,20.5
Agriculture,Saskatchewan,2018,21
Agriculture,Saskatchewan,2019,21
Agriculture,Saskatchewan,2020,23.08
Agriculture,Saskatchewan,2021,24
"Business, building and other support services",Alberta,2012,19
"Business, building and other support services",Alberta,2013,19.47
"Business, building and other support services",Alberta,2014,18
"Business, building and other support services",Alberta,2015,20.22
"Business, building and other support services",Alberta,2016,20.34
"Business, building and other support services",Alberta,2017,19.68
"Business, building and other support services",Alberta,2018,20.1
"Business, building and other support services",Alberta,2019,22
"Business, building and other support services",Alberta,2020,22
"Business, building and other support services",Alberta,2021,21
"Business, building and other support services",British Columbia,2012,15.75
"Business, building and other support services",British Columbia,2013,16.3
"Business, building and other support services",British Columbia,2014,16
"Business, building and other support services",British Columbia,2015,18
"Business, building and other support services",British Columbia,2016,16
"Business, building and other support services",British Columbia,2017,19
"Business, building and other support services",British Columbia,2018,20
"Business, building and other support services",British Columbia,2019,20
"Business, building and other support services",British Columbia,2020,21.5
"Business, building and other support services",British Columbia,2021,22.5
"Business, building and other support services",Canada,2012,15
"Business, building and other support services",Canada,2013,15.26
"Business, building and other support services",Canada,2014,15.75
"Business, building and other support services",Canada,2015,16
"Business, building and other support services",Canada,2016,16
"Business, building and other support services",Canada,2017,17
"Business, building and other support services",Canada,2018,17.75
"Business, building and other support services",Canada,2019,18
"Business, building and other support services",Canada,2020,19
"Business, building and other support services",Canada,2021,20
"Business, building and other support services",Manitoba,2012,12.5
"Business, building and other support services",Manitoba,2013,13.08
"Business, building and other support services",Manitoba,2014,14
"Business, building and other support services",Manitoba,2015,14
"Business, building and other support services",Manitoba,2016,14.95
"Business, building and other support services",Manitoba,2017,15
"Business, building and other support services",Manitoba,2018,15
"Business, building and other support services",Manitoba,2019,15.74
"Business, building and other support services",Manitoba,2020,16.12
"Business, building and other support services",Manitoba,2021,16.5
"Business, building and other support services",New Brunswick,2012,13.46
"Business, building and other support services",New Brunswick,2013,13.45
"Business, building and other support services",New Brunswick,2014,14.74
"Business, building and other support services",New Brunswick,2015,14.62
"Business, building and other support services",New Brunswick,2016,14.4
"Business, building and other support services",New Brunswick,2017,14.98
"Business, building and other support services",New Brunswick,2018,15.31
"Business, building and other support services",New Brunswick,2019,15.5
"Business, building and other support services",New Brunswick,2020,17.89
"Business, building and other support services",New Brunswick,2021,17.25
"Business, building and other support services",Newfoundland and Labrador,2012,14.48
"Business, building and other support services",Newfoundland and Labrador,2013,16.5
"Business, building and other support services",Newfoundland and Labrador,2014,17.13
"Business, building and other support services",Newfoundland and Labrador,2015,16.2
"Business, building and other support services",Newfoundland and Labrador,2016,16.92
"Business, building and other support services",Newfoundland and Labrador,2017,17
"Business, building and other support services",Newfoundland and Labrador,2018,18.5
"Business, building and other support services",Newfoundland and Labrador,2019,18.98
"Business, building and other support services",Newfoundland and Labrador,2020,20
"Business, building and other support services",Newfoundland and Labrador,2021,19.35
"Business, building and other support services",Nova Scotia,2012,12.45
"Business, building and other support services",Nova Scotia,2013,12.86
"Business, building and other support services",Nova Scotia,2014,14
"Business, building and other support services",Nova Scotia,2015,14
"Business, building and other support services",Nova Scotia,2016,13.95
"Business, building and other support services",Nova Scotia,2017,14
"Business, building and other support services",Nova Scotia,2018,14
"Business, building and other support services",Nova Scotia,2019,15
"Business, building and other support services",Nova Scotia,2020,15.99
"Business, building and other support services",Nova Scotia,2021,16.72
"Business, building and other support services",Ontario,2012,14.62
"Business, building and other support services",Ontario,2013,14.21
"Business, building and other support services",Ontario,2014,15
"Business, building and other support services",Ontario,2015,15
"Business, building and other support services",Ontario,2016,15
"Business, building and other support services",Ontario,2017,15
"Business, building and other support services",Ontario,2018,17
"Business, building and other support services",Ontario,2019,18
"Business, building and other support services",Ontario,2020,18.51
"Business, building and other support services",Ontario,2021,20
"Business, building and other support services",Prince Edward Island,2012,11.5
"Business, building and other support services",Prince Edward Island,2013,12.5
"Business, building and other support services",Prince Edward Island,2014,13.73
"Business, building and other support services",Prince Edward Island,2015,12.5
"Business, building and other support services",Prince Edward Island,2016,13.18
"Business, building and other support services",Prince Edward Island,2017,12.38
"Business, building and other support services",Prince Edward Island,2018,13.5
"Business, building and other support services",Prince Edward Island,2019,13.58
"Business, building and other support services",Prince Edward Island,2020,14.5
"Business, building and other support services",Prince Edward Island,2021,15
"Business, building and other support services",Quebec,2012,15.25
"Business, building and other support services",Quebec,2013,15.6
"Business, building and other support services",Quebec,2014,16
"Business, building and other support services",Quebec,2015,16.27
"Business, building and other support services",Quebec,2016,16.92
"Business, building and other support services",Quebec,2017,17.25
"Business, building and other support services",Quebec,2018,17.76
"Business, building and other support services",Quebec,2019,18.04
"Business, building and other support services",Quebec,2020,18.88
"Business, building and other support services",Quebec,2021,19
"Business, building and other support services",Saskatchewan,2012,15.58
"Business, building and other support services",Saskatchewan,2013,16.35
"Business, building and other support services",Saskatchewan,2014,16.52
"Business, building and other support services",Saskatchewan,2015,16
"Business, building and other support services",Saskatchewan,2016,18
"Business, building and other support services",Saskatchewan,2017,16.92
"Business, building and other support services",Saskatchewan,2018,19.37
"Business, building and other support services",Saskatchewan,2019,18
"Business, building and other support services",Saskatchewan,2020,20
"Business, building and other support services",Saskatchewan,2021,20
Construction,Alberta,2012,28.12
Construction,Alberta,2013,28
Construction,Alberta,2014,28.92
Construction,Alberta,2015,30
Construction,Alberta,2016,31
Construction,Alberta,2017,31
Construction,Alberta,2018,30
Construction,Alberta,2019,32
Construction,Alberta,2020,32.9
Construction,Alberta,2021,32
Construction,British Columbia,2012,25
Construction,British Columbia,2013,25.5
Construction,British Columbia,2014,26
Construction,British Columbia,2015,25.5
Construction,British Columbia,2016,26
Construction,British Columbia,2017,27
Construction,British Columbia,2018,26.72
Construction,British Columbia,2019,28.8
Construction,British Columbia,2020,30
Construction,British Columbia,2021,30
Construction,Canada,2012,24.02
Construction,Canada,2013,25
Construction,Canada,2014,25
Construction,Canada,2015,26.22
Construction,Canada,2016,26.71
Construction,Canada,2017,27
Construction,Canada,2018,27
Construction,Canada,2019,28.68
Construction,Canada,2020,30
Construction,Canada,2021,30
Construction,Manitoba,2012,20.64
Construction,Manitoba,2013,21
Construction,Manitoba,2014,21
Construction,Manitoba,2015,23
Construction,Manitoba,2016,23.6
Construction,Manitoba,2017,25
Construction,Manitoba,2018,25
Construction,Manitoba,2019,25.5
Construction,Manitoba,2020,27
Construction,Manitoba,2021,27.25
Construction,New Brunswick,2012,18.5
Construction,New Brunswick,2013,19.88
Construction,New Brunswick,2014,19.4
Construction,New Brunswick,2015,20.5
Construction,New Brunswick,2016,20
Construction,New Brunswick,2017,20.5
Construction,New Brunswick,2018,20.98
Construction,New Brunswick,2019,21.22
Construction,New Brunswick,2020,21
Construction,New Brunswick,2021,23
Construction,Newfoundland and Labrador,2012,20.55
Construction,Newfoundland and Labrador,2013,23.43
Construction,Newfoundland and Labrador,2014,26.5
Construction,Newfoundland and Labrador,2015,26
Construction,Newfoundland and Labrador,2016,27.67
Construction,Newfoundland and Labrador,2017,29
Construction,Newfoundland and Labrador,2018,25.38
Construction,Newfoundland and Labrador,2019,27.5
Construction,Newfoundland and Labrador,2020,27.73
Construction,Newfoundland and Labrador,2021,27.92
Construction,Nova Scotia,2012,19.68
Construction,Nova Scotia,2013,19.5
Construction,Nova Scotia,2014,20
Construction,Nova Scotia,2015,20
Construction,Nova Scotia,2016,20
Construction,Nova Scotia,2017,21.49
Construction,Nova Scotia,2018,21
Construction,Nova Scotia,2019,22
Construction,Nova Scotia,2020,24
Construction,Nova Scotia,2021,24
Construction,Ontario,2012,22.76
Construction,Ontario,2013,23.06
Construction,Ontario,2014,24.24
Construction,Ontario,2015,26
Construction,Ontario,2016,25.72
Construction,Ontario,2017,25
Construction,Ontario,2018,26
Construction,Ontario,2019,27.25
Construction,Ontario,2020,28.32
Construction,Ontario,2021,30
Construction,Prince Edward Island,2012,17.2
Construction,Prince Edward Island,2013,17.5
Construction,Prince Edward Island,2014,17.62
Construction,Prince Edward Island,2015,18
Construction,Prince Edward Island,2016,19.5
Construction,Prince Edward Island,2017,19.37
Construction,Prince Edward Island,2018,19.5
Construction,Prince Edward Island,2019,19.88
Construction,Prince Edward Island,2020,20
Construction,Prince Edward Island,2021,21.92
Construction,Quebec,2012,25
Construction,Quebec,2013,25.14
Construction,Quebec,2014,26
Construction,Quebec,2015,26.78
Construction,Quebec,2016,28
Construction,Quebec,2017,29.89
Construction,Quebec,2018,29.26
Construction,Quebec,2019,30
Construction,Quebec,2020,30.75
Construction,Quebec,2021,30.62
Construction,Saskatchewan,2012,23.5
Construction,Saskatchewan,2013,23.65
Construction,Saskatchewan,2014,25
Construction,Saskatchewan,2015,25.88
Construction,Saskatchewan,2016,28
Construction,Saskatchewan,2017,27
Construction,Saskatchewan,2018,28.34
Construction,Saskatchewan,2019,28.82
Construction,Saskatchewan,2020,32
Construction,Saskatchewan,2021,28.5
Educational services,Alberta,2012,29.15
Educational services,Alberta,2013,28.92
Educational services,Alberta,2014,29.54
Educational services,Alberta,2015,30.77
Educational services,Alberta,2016,32.5
Educational services,Alberta,2017,32.11
Educational services,Alberta,2018,31.91
Educational services,Alberta,2019,31.06
Educational services,Alberta,2020,36.45
Educational services,Alberta,2021,35.71
Educational services,British Columbia,2012,25.64
Educational services,British Columbia,2013,26.18
Educational services,British Columbia,2014,26
Educational services,British Columbia,2015,26.4
Educational services,British Columbia,2016,26.84
Educational services,British Columbia,2017,28
Educational services,British Columbia,2018,27.25
Educational services,British Columbia,2019,29.63
Educational services,British Columbia,2020,30
Educational services,British Columbia,2021,30
Educational services,Canada,2012,27.88
Educational services,Canada,2013,28.53
Educational services,Canada,2014,28.8
Educational services,Canada,2015,29.47
Educational services,Canada,2016,30.02
Educational services,Canada,2017,30
Educational services,Canada,2018,30.38
Educational services,Canada,2019,31.04
Educational services,Canada,2020,33.49
Educational services,Canada,2021,33.39
Educational services,Manitoba,2012,24.02
Educational services,Manitoba,2013,24.52
Educational services,Manitoba,2014,24.83
Educational services,Manitoba,2015,25
Educational services,Manitoba,2016,25.82
Educational services,Manitoba,2017,26.44
Educational services,Manitoba,2018,27.14
Educational services,Manitoba,2019,28
Educational services,Manitoba,2020,31.24
Educational services,Manitoba,2021,29.49
Educational services,New Brunswick,2012,24.65
Educational services,New Brunswick,2013,25
Educational services,New Brunswick,2014,23.8
Educational services,New Brunswick,2015,24.24
Educational services,New Brunswick,2016,26.8
Educational services,New Brunswick,2017,27.47
Educational services,New Brunswick,2018,27
Educational services,New Brunswick,2019,28.59
Educational services,New Brunswick,2020,28.44
Educational services,New Brunswick,2021,28.7
Educational services,Newfoundland and Labrador,2012,33.7
Educational services,Newfoundland and Labrador,2013,30.74
Educational services,Newfoundland and Labrador,2014,32.72
Educational services,Newfoundland and Labrador,2015,30.75
Educational services,Newfoundland and Labrador,2016,32.6
Educational services,Newfoundland and Labrador,2017,33.08
Educational services,Newfoundland and Labrador,2018,34.62
Educational services,Newfoundland and Labrador,2019,33.47
Educational services,Newfoundland and Labrador,2020,34.62
Educational services,Newfoundland and Labrador,2021,38.99
Educational services,Nova Scotia,2012,24.62
Educational services,Nova Scotia,2013,25
Educational services,Nova Scotia,2014,24.24
Educational services,Nova Scotia,2015,24.22
Educational services,Nova Scotia,2016,26.9
Educational services,Nova Scotia,2017,27.06
Educational services,Nova Scotia,2018,27.62
Educational services,Nova Scotia,2019,25.02
Educational services,Nova Scotia,2020,27.46
Educational services,Nova Scotia,2021,29.86
Educational services,Ontario,2012,29.52
Educational services,Ontario,2013,30.14
Educational services,Ontario,2014,30
Educational services,Ontario,2015,31.1
Educational services,Ontario,2016,31.61
Educational services,Ontario,2017,30.26
Educational services,Ontario,2018,31.4
Educational services,Ontario,2019,31.26
Educational services,Ontario,2020,35.96
Educational services,Ontario,2021,35.71
Educational services,Prince Edward Island,2012,25.56
Educational services,Prince Edward Island,2013,26
Educational services,Prince Edward Island,2014,26.3
Educational services,Prince Edward Island,2015,26.82
Educational services,Prince Edward Island,2016,28.04
Educational services,Prince Edward Island,2017,29.88
Educational services,Prince Edward Island,2018,28
Educational services,Prince Edward Island,2019,28.53
Educational services,Prince Edward Island,2020,28.21
Educational services,Prince Edward Island,2021,31.95
Educational services,Quebec,2012,27.26
Educational services,Quebec,2013,27.94
Educational services,Quebec,2014,29
Educational services,Quebec,2015,30.32
Educational services,Quebec,2016,30.66
Educational services,Quebec,2017,30
Educational services,Quebec,2018,31.01
Educational services,Quebec,2019,33.01
Educational services,Quebec,2020,33.3
Educational services,Quebec,2021,33
Educational services,Saskatchewan,2012,27.2
Educational services,Saskatchewan,2013,27.54
Educational services,Saskatchewan,2014,27.51
Educational services,Saskatchewan,2015,28.18
Educational services,Saskatchewan,2016,30.53
Educational services,Saskatchewan,2017,28.85
Educational services,Saskatchewan,2018,31.12
Educational services,Saskatchewan,2019,30
Educational services,Saskatchewan,2020,34.81
Educational services,Saskatchewan,2021,32.58
"Finance, insurance, real estate, rental and leasing",Alberta,2012,23.68
"Finance, insurance, real estate, rental and leasing",Alberta,2013,23.59
"Finance, insurance, real estate, rental and leasing",Alberta,2014,24.86
"Finance, insurance, real estate, rental and leasing",Alberta,2015,25.9
"Finance, insurance, real estate, rental and leasing",Alberta,2016,26.04
"Finance, insurance, real estate, rental and leasing",Alberta,2017,26.47
"Finance, insurance, real estate, rental and leasing",Alberta,2018,27.33
"Finance, insurance, real estate, rental and leasing",Alberta,2019,27.47
"Finance, insurance, real estate, rental and leasing",Alberta,2020,30.67
"Finance, insurance, real estate, rental and leasing",Alberta,2021,29.5
"Finance, insurance, real estate, rental and leasing",British Columbia,2012,21.83
"Finance, insurance, real estate, rental and leasing",British Columbia,2013,23
"Finance, insurance, real estate, rental and leasing",British Columbia,2014,23
"Finance, insurance, real estate, rental and leasing",British Columbia,2015,25
"Finance, insurance, real estate, rental and leasing",British Columbia,2016,23.64
"Finance, insurance, real estate, rental and leasing",British Columbia,2017,24.38
"Finance, insurance, real estate, rental and leasing",British Columbia,2018,25.94
"Finance, insurance, real estate, rental and leasing",British Columbia,2019,27.16
"Finance, insurance, real estate, rental and leasing",British Columbia,2020,30
"Finance, insurance, real estate, rental and leasing",British Columbia,2021,31.04
"Finance, insurance, real estate, rental and leasing",Canada,2012,22.87
"Finance, insurance, real estate, rental and leasing",Canada,2013,23.08
"Finance, insurance, real estate, rental and leasing",Canada,2014,24
"Finance, insurance, real estate, rental and leasing",Canada,2015,25
"Finance, insurance, real estate, rental and leasing",Canada,2016,25
"Finance, insurance, real estate, rental and leasing",Canada,2017,25.64
"Finance, insurance, real estate, rental and leasing",Canada,2018,26.96
"Finance, insurance, real estate, rental and leasing",Canada,2019,28.39
"Finance, insurance, real estate, rental and leasing",Canada,2020,29.98
"Finance, insurance, real estate, rental and leasing",Canada,2021,31.12
"Finance, insurance, real estate, rental and leasing",Manitoba,2012,19.04
"Finance, insurance, real estate, rental and leasing",Manitoba,2013,20
"Finance, insurance, real estate, rental and leasing",Manitoba,2014,22
"Finance, insurance, real estate, rental and leasing",Manitoba,2015,22.16
"Finance, insurance, real estate, rental and leasing",Manitoba,2016,21.59
"Finance, insurance, real estate, rental and leasing",Manitoba,2017,23.08
"Finance, insurance, real estate, rental and leasing",Manitoba,2018,24.04
"Finance, insurance, real estate, rental and leasing",Manitoba,2019,24.04
"Finance, insurance, real estate, rental and leasing",Manitoba,2020,26.96
"Finance, insurance, real estate, rental and leasing",Manitoba,2021,26.92
"Finance, insurance, real estate, rental and leasing",New Brunswick,2012,17.95
"Finance, insurance, real estate, rental and leasing",New Brunswick,2013,19.62
"Finance, insurance, real estate, rental and leasing",New Brunswick,2014,21.27
"Finance, insurance, real estate, rental and leasing",New Brunswick,2015,19.9
"Finance, insurance, real estate, rental and leasing",New Brunswick,2016,20.1
"Finance, insurance, real estate, rental and leasing",New Brunswick,2017,21.27
"Finance, insurance, real estate, rental and leasing",New Brunswick,2018,22.11
"Finance, insurance, real estate, rental and leasing",New Brunswick,2019,22.82
"Finance, insurance, real estate, rental and leasing",New Brunswick,2020,23.52
"Finance, insurance, real estate, rental and leasing",New Brunswick,2021,24.76
"Finance, insurance, real estate, rental and leasing",Newfoundland and Labrador,2012,20.5
"Finance, insurance, real estate, rental and leasing",Newfoundland and Labrador,2013,20.38
"Finance, insurance, real estate, rental and leasing",Newfoundland and Labrador,2014,25.72
"Finance, insurance, real estate, rental and leasing",Newfoundland and Labrador,2015,21.84
"Finance, insurance, real estate, rental and leasing",Newfoundland and Labrador,2016,22.92
"Finance, insurance, real estate, rental and leasing",Newfoundland and Labrador,2017,22.92
"Finance, insurance, real estate, rental and leasing",Newfoundland and Labrador,2018,24.61
"Finance, insurance, real estate, rental and leasing",Newfoundland and Labrador,2019,23.8
"Finance, insurance, real estate, rental and leasing",Newfoundland and Labrador,2020,24.34
"Finance, insurance, real estate, rental and leasing",Newfoundland and Labrador,2021,24.4
"Finance, insurance, real estate, rental and leasing",Nova Scotia,2012,19.36
"Finance, insurance, real estate, rental and leasing",Nova Scotia,2013,19.74
"Finance, insurance, real estate, rental and leasing",Nova Scotia,2014,19.64
"Finance, insurance, real estate, rental and leasing",Nova Scotia,2015,20.26
"Finance, insurance, real estate, rental and leasing",Nova Scotia,2016,20.51
"Finance, insurance, real estate, rental and leasing",Nova Scotia,2017,22
"Finance, insurance, real estate, rental and leasing",Nova Scotia,2018,20.79
"Finance, insurance, real estate, rental and leasing",Nova Scotia,2019,22.53
"Finance, insurance, real estate, rental and leasing",Nova Scotia,2020,24.65
"Finance, insurance, real estate, rental and leasing",Nova Scotia,2021,24.46
"Finance, insurance, real estate, rental and leasing",Ontario,2012,24.28
"Finance, insurance, real estate, rental and leasing",Ontario,2013,24.04
"Finance, insurance, real estate, rental and leasing",Ontario,2014,24.62
"Finance, insurance, real estate, rental and leasing",Ontario,2015,25.82
"Finance, insurance, real estate, rental and leasing",Ontario,2016,25.9
"Finance, insurance, real estate, rental and leasing",Ontario,2017,27
"Finance, insurance, real estate, rental and leasing",Ontario,2018,28.98
"Finance, insurance, real estate, rental and leasing",Ontario,2019,29.74
"Finance, insurance, real estate, rental and leasing",Ontario,2020,31.26
"Finance, insurance, real estate, rental and leasing",Ontario,2021,33.49
"Finance, insurance, real estate, rental and leasing",Prince Edward Island,2012,18.13
"Finance, insurance, real estate, rental and leasing",Prince Edward Island,2013,17.09
"Finance, insurance, real estate, rental and leasing",Prince Edward Island,2014,18.27
"Finance, insurance, real estate, rental and leasing",Prince Edward Island,2015,18.4
"Finance, insurance, real estate, rental and leasing",Prince Edward Island,2016,19.2
"Finance, insurance, real estate, rental and leasing",Prince Edward Island,2017,20.51
"Finance, insurance, real estate, rental and leasing",Prince Edward Island,2018,19.38
"Finance, insurance, real estate, rental and leasing",Prince Edward Island,2019,20.48
"Finance, insurance, real estate, rental and leasing",Prince Edward Island,2020,20.67
"Finance, insurance, real estate, rental and leasing",Prince Edward Island,2021,22.7
